customer_id,education,marital_status,income,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,total_accepted_cmp,children,age,relationship_duration,frequency,monetary,avg_purchase_value,cluster_id,pca_1,pca_2,pca_3
5524,Graduate,Single,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,69,14,1.7857142857142858,1617,64.68,2,4.527351379471285,0.6949966748195949,1.9982125620425066
2174,Graduate,Single,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,2,72,12,0.5,27,4.5,4,-2.943196801938054,-0.671313602843828,-1.9058200604658295
4141,Graduate,Partner,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,61,13,1.6153846153846154,776,36.95238095238095,0,1.9860140578410843,-0.009286319773375556,-0.35549938831071914
6182,Graduate,Partner,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,1,42,12,0.6666666666666666,53,6.625,4,-2.8872982945238013,-1.0360085231934906,-0.21202864739845814
5324,Postgraduate,Partner,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,1,45,12,1.5833333333333333,422,22.210526315789473,3,-0.14304375350287712,0.5430743595160266,-0.5729733832375624
7446,Postgraduate,Partner,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,1,59,13,1.6923076923076923,716,32.54545454545455,0,0.9122785576918048,0.9407757484124409,-0.5880686658279118
965,Graduate,Single,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,1,55,14,1.5,590,28.095238095238095,3,0.6940030081556561,1.3644358779548726,1.2867501985122387
6177,Postgraduate,Partner,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,1,41,13,0.7692307692307693,169,16.9,1,-2.441584204296491,-0.09338114113356336,1.0221157562133578
4855,Postgraduate,Partner,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,52,13,0.46153846153846156,46,7.666666666666667,1,-3.26290497424353,-0.527636498056508,0.6741660113817552
5899,Postgraduate,Partner,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,2,76,12,0.16666666666666666,49,24.5,1,-4.766362344100717,0.70956179986159,0.28205376150067935
1994,Graduate,Partner,,11,5,5,6,0,2,1,1,1,0,2,7,0,1,43,13,0.3076923076923077,19,4.75,1,-3.3962863692520724,-1.2447735583918365,0.8071050053381799
387,Undergraduate,Partner,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,50,14,0.42857142857142855,61,10.166666666666666,1,-3.0840391062287322,-0.905684976575709,2.193531000149704
2125,Graduate,Single,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,67,13,1.2307692307692308,1102,68.875,2,3.4093404516082186,-2.1721506046605907,0.4667679382600725
8180,Postgraduate,Single,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,2,74,13,1.1538461538461537,310,20.666666666666668,3,-1.3260093617305817,1.3684752655369719,-1.2158481823525682
2569,Graduate,Partner,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,39,14,0.35714285714285715,46,9.2,1,-3.0908900861305297,-1.2030289413518767,2.441244399606742
2114,Postgraduate,Single,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,2,0,80,14,1.8571428571428572,1315,50.57692307692308,2,4.151072085138089,0.7002368724405077,-0.7857460597334028
9736,Graduate,Partner,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,2,46,14,0.6428571428571429,96,10.666666666666666,1,-2.8845371972180436,0.8246249118163288,1.2569637720796931
4939,Graduate,Partner,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,80,14,0.9285714285714286,317,24.384615384615383,3,-0.6272066062449676,0.13537651228382377,0.5519911914996388
6565,Postgraduate,Partner,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,1,1,77,13,2.0,1782,68.53846153846153,0,4.481791248038929,2.0168594298634392,-0.928407199128746
2278,Undergraduate,Single,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,1,41,14,0.5714285714285714,133,16.625,1,-2.2306282176971637,-0.6185693480799438,2.22193980293143
9360,Graduate,Partner,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,44,14,0.8571428571428571,316,26.333333333333332,1,-0.9434612343168033,-0.47059900876064303,2.2842059493840257
